,Source Account,Tweet Text,Tweet Date,Compound Score,Positive Score,Neutral Score,Negative Score
0,BBC Breaking News,A 7.1 magnitude quake off the south-west coast of Peru kills two people https://t.co/oLae31f3Qh,Sun Jan 14 14:35:48 +0000 2018,-0.5423,0.0,0.774,0.226
1,BBC Breaking News,"Burning oil tanker sinks more than a week after collision with cargo ship off China, with 32 lives lost, reports say https://t.co/yAJoNdweTd",Sun Jan 14 09:31:56 +0000 2018,-0.5859,0.0,0.798,0.202
2,BBC Breaking News,Hawaiians receive emergency text warning of ballistic missile threat but officials later say it was a mistake https://t.co/zl3UENEu5b,Sat Jan 13 18:42:09 +0000 2018,-0.7783,0.0,0.596,0.404
3,BBC Breaking News,Donald Trump says he will approve Iran's nuclear deal only one more time before abandoning it if it is not changed https://t.co/BwArj6XWFA,Fri Jan 12 18:30:56 +0000 2018,-0.4336,0.0,0.88,0.12
4,BBC Breaking News,"Nottingham rail station fire is being treated as arson, police say https://t.co/f2kqYucRa8",Fri Jan 12 17:12:10 +0000 2018,-0.34,0.0,0.821,0.179
5,BBC Breaking News,"President Trump denies using crude words about migrants in Oval Office meeting but admits his language was ""tough"" https://t.co/i4ycDRqVaE",Fri Jan 12 12:37:10 +0000 2018,-0.1154,0.121,0.694,0.184
6,BBC Breaking News,"President Trump's reported remarks on immigrants condemned as ""racist"" and ""shocking"" by UN human rights official https://t.co/i4ycDRqVaE",Fri Jan 12 10:34:02 +0000 2018,-0.4404,0.0,0.847,0.153
7,BBC Breaking News,Paris police say they have recovered all the jewels stolen on Wednesday in a brazen raid on the Ritz hotel https://t.co/gt1whlh8m5,Thu Jan 11 21:53:24 +0000 2018,-0.0516,0.124,0.744,0.132
8,BBC Breaking News,Sharp rise in flu cases in England with more patients seeing GPs and hospital admissions up in first week of year https://t.co/zHTsyQxYpO,Thu Jan 11 14:17:23 +0000 2018,-0.3818,0.0,0.89,0.11
9,BBC Breaking News,"Patients are dying in hospital corridors amid ""intolerable"" NHS conditions, A&amp;E doctors warn the PM https://t.co/sj1HfQEiVM",Thu Jan 11 12:01:33 +0000 2018,-0.1027,0.0,0.915,0.085
10,BBC Breaking News,"Woman, 63, charged with murder after police find a body buried in a Stockport garden https://t.co/IPZjlRH0sF",Thu Jan 11 08:22:03 +0000 2018,-0.7579,0.0,0.649,0.351
11,BBC Breaking News,"Tesco Christmas sales up 1.9%, Marks and Spencer sales fall by 1.4% for its third quarter
https://t.co/JV9rPrHwVw",Thu Jan 11 07:19:24 +0000 2018,0.0,0.0,1.0,0.0
12,BBC Breaking News,Ex-Trump strategist Steve Bannon stepping down from Breitbart News amid furore over remarks about president's son https://t.co/NDToEWRWjB,Tue Jan 09 21:12:44 +0000 2018,0.0,0.0,1.0,0.0
13,BBC Breaking News,North and South Korea agree to hold military talks to defuse border tensions https://t.co/AbZ2pK8S8o,Tue Jan 09 12:21:57 +0000 2018,-0.0516,0.145,0.698,0.157
14,BBC Breaking News,South Korea says a military hotline with the North that was suspended two years ago will reopen on Wednesday https://t.co/YXiutNpawc,Tue Jan 09 09:22:01 +0000 2018,-0.4767,0.0,0.853,0.147
15,BBC Breaking News,Journalist Toby Young stands down from role in new UK university regulator after criticism over controversial comme… https://t.co/DjSQyOhFRB,Tue Jan 09 07:05:06 +0000 2018,-0.5719,0.0,0.773,0.227
16,BBC Breaking News,Toby Young resigns as head of new university regulator after criticism over previous controversial comments https://t.co/xNHgDtktzT,Tue Jan 09 06:38:26 +0000 2018,-0.7184,0.0,0.65,0.35
17,BBC Breaking News,North Korea 'to send high-level delegation' to Winter Olympic Games in South Korea https://t.co/uxVxs2UuX6,Tue Jan 09 04:13:36 +0000 2018,0.0,0.0,1.0,0.0
18,BBC Breaking News,"@bbclaurak Damian Hinds appointed education secretary, Downing Street says

https://t.co/sw1XM3fHkw #cabinetreshuffle",Mon Jan 08 20:14:30 +0000 2018,0.0,0.0,1.0,0.0
19,BBC Breaking News,"Education Secretary Justine Greening quits UK government after refusing job in Work &amp; Pensions department,… https://t.co/UA1CBDKXDc",Mon Jan 08 19:52:21 +0000 2018,-0.4019,0.0,0.847,0.153
20,BBC Breaking News,A 7.1 magnitude quake off the south-west coast of Peru kills two people https://t.co/oLae31f3Qh,Sun Jan 14 14:35:48 +0000 2018,-0.5423,0.0,0.774,0.226
21,BBC Breaking News,"Burning oil tanker sinks more than a week after collision with cargo ship off China, with 32 lives lost, reports say https://t.co/yAJoNdweTd",Sun Jan 14 09:31:56 +0000 2018,-0.5859,0.0,0.798,0.202
